Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
500058,BIHSPONG,XT,9.18,9.18,8.72,8.96,27443,2.47,90
543804,AMANAYA,M,13.63,13.63,13.62,13.62,18000,2.45,3
512531,STCINDIA,B,79.81,82.81,78.74,80.96,3031,2.45,78
524598,AKSCHEM,B,238.75,243.75,237.25,240.00,1017,2.44,96
539224,HCKKVENTURE,XT,81.00,84.00,80.75,82.27,2980,2.44,17
518075,SURAJ,Z,163.80,164.90,160.00,162.20,1497,2.44,35
532918,RATHIBAR,X,24.30,24.84,23.50,24.20,10138,2.43,98
523756,SREINFRA,T,2.15,2.20,2.10,2.15,113057,2.42,105
500069,QUESTCAP,X,262.00,268.00,262.00,265.35,904,2.39,36
504882,NATIONSTD,A,4780.00,4870.25,4704.40,4779.15,50,2.39,34
523754,MAHEPC,B,100.80,104.60,100.80,103.95,2303,2.38,51
532767,GAYAPROJ,T,5.85,5.90,5.75,5.89,40536,2.38,110
540006,EASTWEST,X,4.79,4.79,4.40,4.62,52050,2.38,112
532867,V2RETAIL,T,132.75,133.90,128.85,132.00,1799,2.37,23
539584,SIPTL,X,1.01,1.01,0.95,1.00,235910,2.37,135
516022,STARPAPER,B,171.90,173.80,169.05,170.45,1382,2.37,172
543578,OLATECH,M,118.00,118.00,118.00,118.00,2000,2.36,1
517356,ACIIN,X,0.87,0.87,0.77,0.83,285230,2.36,624
513693,KAJARIR,X,43.50,43.88,43.05,43.39,5435,2.36,65
539045,MNKALCOLTD,B,22.35,22.64,22.01,22.09,10505,2.35,226
539854,HALDER,X,262.00,277.00,256.00,274.35,892,2.34,47
540952,LAL,T,207.00,218.00,202.30,216.05,1088,2.34,13
532029,SINDHUTRAD,A,22.90,23.90,22.63,23.17,9967,2.33,84
514087,PBMPOLY,X,87.75,89.39,84.00,84.68,2716,2.33,76
526546,CHOKSILA,X,50.00,51.25,48.85,50.00,4626,2.31,21
541702,ASHNI,XT,22.75,22.95,21.26,22.39,10444,2.31,57
531328,KRETTOSYS,X,0.54,0.55,0.53,0.55,422374,2.30,1005
540405,OCEANIC,Z,24.50,24.50,22.18,24.42,9434,2.30,30
519307,VIKASWSP,Z,1.35,1.40,1.28,1.31,170969,2.30,124
503641,ZODIACVEN,X,18.69,18.69,17.41,17.53,12824,2.30,47
505590,SVPGLOB,T,10.40,10.86,10.40,10.56,21815,2.30,78
532925,KAUSHALYA,T,5.36,5.54,5.30,5.33,42578,2.29,34
533317,OMKARCHEM,Z,8.60,8.89,8.30,8.89,26122,2.29,22
532896,MAGNUM,T,32.92,32.95,31.50,32.00,7081,2.28,38
532759,ATLANTA,B,13.93,14.99,13.91,14.23,16110,2.28,174
524506,CORALAB,X,246.00,251.00,246.00,247.15,921,2.28,24
538273,RESPONSINF,XT,41.70,41.70,41.70,41.70,5460,2.28,14
531842,LAHOTIOV,X,28.00,28.34,27.51,27.99,8134,2.27,36
543193,DJML,B,154.30,160.00,154.15,159.25,1440,2.27,72
531437,PWASML,X,29.40,29.40,24.00,25.62,9072,2.26,67
512161,SECURKLOUD,B,39.15,40.00,37.35,38.40,5836,2.26,100
531137,GEMSI,XT,0.82,0.84,0.79,0.83,273234,2.25,349
521018,MARALOVER,B,52.80,57.00,52.80,56.00,4037,2.25,73
524500,KILITCH,T,185.15,196.95,185.15,187.25,1198,2.24,18
507910,FIBERWEB,B,30.90,30.90,30.25,30.45,7291,2.22,83
539982,ASYL,T,6.40,6.40,6.05,6.05,36510,2.21,34
530997,UNIQUEO,X,34.68,36.50,33.40,33.55,6334,2.20,80
543264,NURECA,T,378.00,378.00,365.00,368.00,596,2.20,44
507960,GUJHOTE,X,155.20,159.00,153.00,155.50,1423,2.20,41
509635,HINDCOMPOS,B,358.75,364.00,358.75,359.55,610,2.20,72
530615,GARGFUR,XT,92.75,92.75,88.30,88.89,2429,2.19,45
530357,KBSINDIA,XT,10.00,10.29,9.62,9.79,22272,2.19,97
543274,SUUMAYA,M,9.50,9.50,8.90,8.98,23850,2.19,45
530883,SUCROSA,X,6.49,6.90,6.49,6.74,31987,2.18,79
526654,THAKDEV,X,139.80,139.80,132.30,135.95,1594,2.16,36
539527,CREATIVE,X,540.10,568.00,540.00,562.85,390,2.16,35
531991,AMRAAGRI,X,0.74,0.75,0.70,0.74,292935,2.15,476
538634,VRL,X,149.55,154.95,149.55,150.40,1417,2.14,37
532946,BANG,B,39.99,41.60,39.16,40.40,5191,2.13,97
514211,SUMEETINDS,T,2.29,2.32,2.28,2.28,93411,2.13,67
505196,TIL,Z,105.55,109.00,102.70,106.30,2035,2.13,65
532217,SIELFNS,X,9.55,9.88,9.10,9.35,22072,2.11,31
539662,BFLAFL,XT,12.68,12.89,11.62,12.49,16679,2.10,116
530151,VIJAYTX,X,27.39,27.80,26.00,26.12,7770,2.09,69
502873,HPCOTTON,X,103.90,103.90,94.16,95.75,2195,2.09,59
507690,ORIBEVER,X,124.90,124.90,118.35,121.95,1705,2.09,65
543410,DMR,M,34.70,34.70,34.70,34.70,6000,2.08,1
543499,ACHYUT,M,46.10,46.10,46.10,46.10,4500,2.07,1
506618,PUNJABCHEM,B,917.75,930.00,917.05,919.95,225,2.07,46
530419,SUMEDHA,XT,45.96,45.96,43.25,44.43,4646,2.06,99
533001,SOMICONV,T,54.03,56.00,54.02,56.00,3712,2.06,19
500170,GTNINDS,X,32.10,33.20,31.52,31.76,6423,2.06,64
517238,DYNAVSN,XT,140.00,147.00,139.00,146.90,1462,2.06,13
533022,20MICRONS,T,95.00,95.95,93.37,94.56,2155,2.05,43
